,Account Name,Provider Client,Subject,Bill Amt,Purch Amt,ROI_Categoria
659,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
662,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,450.0,126.0,Alta rentabilidad
664,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1950.0,546.0,Rentabilidad media
665,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
666,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
668,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
674,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
675,G Dallas Horton & Associates,Sean Steele MD Medical Practice,Evaluation,656.0,308.0,ROI extremo/anómalo
676,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
677,G Dallas Horton & Associates,Durango Surgery Center,Pain Management,14021.0,4626.93,ROI extremo/anómalo
678,G Dallas Horton & Associates,Surgical Arts Centre,Pain Management,5072.0,1673.76,ROI extremo/anómalo
679,G Dallas Horton & Associates,Surgical Arts Centre,Pain Management,5819.32,2036.76,ROI extremo/anómalo
680,G Dallas Horton & Associates,Surgical Arts Centre,Pain Management,5072.0,1775.2,ROI extremo/anómalo
681,G Dallas Horton & Associates,Surgical Arts Centre,Pain Management,5819.32,1920.37,Baja rentabilidad
682,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
683,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
684,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1125.0,315.0,ROI extremo/anómalo
685,G Dallas Horton & Associates,Surgical Arts Centre,Pain Management,5072.0,1673.76,Baja rentabilidad
686,G Dallas Horton & Associates,Suarez Physical Therapy,Administrative,0.0,7580.63,ROI extremo/anómalo
695,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
696,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
701,G Dallas Horton & Associates,Simpson Chiropractic,Chiropractic,4520.0,1356.0,Baja rentabilidad
702,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
718,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1125.0,315.0,Alta rentabilidad
722,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
725,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
728,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
736,G Dallas Horton & Associates,Simpson Chiropractic,Chiropractic,3555.0,1137.0,ROI extremo/anómalo
738,G Dallas Horton & Associates,Simpson Chiropractic,Chiropractic,3555.0,1137.6,ROI extremo/anómalo
739,G Dallas Horton & Associates,Simpson Chiropractic,Chiropractic,7500.0,2250.0,Baja rentabilidad
740,G Dallas Horton & Associates,Simpson Chiropractic,Chiropractic,4925.0,1288.5,ROI extremo/anómalo
741,G Dallas Horton & Associates,Simpson Chiropractic,Chiropractic,5590.0,1677.0,ROI extremo/anómalo
747,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
755,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
763,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
765,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
766,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
767,G Dallas Horton & Associates,Red Rock Surgery Center,Pain Management,21750.0,6525.0,Alta rentabilidad
768,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
772,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
774,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,ROI extremo/anómalo
777,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
778,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,535.0,160.5,Rentabilidad media
779,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,825.0,247.5,Baja rentabilidad
780,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,30630.0,9189.0,Baja rentabilidad
781,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,3253.0,975.9,Rentabilidad media
782,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,1216.0,364.8,Baja rentabilidad
783,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,12455.0,3736.5,Baja rentabilidad
784,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,485.0,145.5,Alta rentabilidad
785,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,ROI extremo/anómalo
789,G Dallas Horton & Associates,Valley Health System,Surgery,262544.0,63887.1,Alta rentabilidad
790,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
792,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,ROI extremo/anómalo
793,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
797,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,4967.0,4967.0,Pérdida
798,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
801,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
802,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
803,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1975.0,503.0,Rentabilidad media
804,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Alta rentabilidad
805,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
808,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
811,G Dallas Horton & Associates,Durango Surgery Center,Pain Management,5601.2,1848.4,Baja rentabilidad
812,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
814,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1125.0,315.0,Baja rentabilidad
816,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
821,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
824,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
826,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
827,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
828,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
832,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
835,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
841,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
845,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
846,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
850,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
852,G Dallas Horton & Associates,Pueblo Medical Imaging,Physical Therapy,7603.0,2232.9,Rentabilidad media
853,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
855,G Dallas Horton & Associates,Pueblo Medical Imaging,Imaging,2120.0,594.0,Rentabilidad media
858,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,4766.5,1417.95,Baja rentabilidad
859,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,1755.0,526.0,Rentabilidad media
860,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,1487.0,446.6,Alta rentabilidad
861,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,7373.0,2211.9,Baja rentabilidad
862,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,400.0,120.0,Alta rentabilidad
863,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,5448.0,1634.4,Alta rentabilidad
864,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,11736.0,3520.8,Rentabilidad media
865,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,9644.0,2893.2,Baja rentabilidad
866,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,12418.75,3725.63,Baja rentabilidad
867,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,10646.0,3193.8,Rentabilidad media
868,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,2662.0,798.6,Rentabilidad media
869,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,18821.0,5646.3,Rentabilidad media
870,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,14633.0,4389.9,Baja rentabilidad
871,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,6534.0,1960.2,Baja rentabilidad
872,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,11965.4,3589.62,Baja rentabilidad
873,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,4971.0,1491.3,Rentabilidad media
874,G Dallas Horton & Associates,Suarez Physical Therapy,Physical Therapy,1541.0,493.12,Rentabilidad media
875,Garg Golden Law Firm,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
878,Gina Corena Law,Simpson Chiropractic,Chiropractic,3925.0,1177.5,Baja rentabilidad
879,Gina Corena Law,Simpson Chiropractic,Chiropractic,6370.0,2038.4,Baja rentabilidad
880,Gina Corena Law,Precision Medical Products,Medical Device,4584.5,1467.04,Rentabilidad media
881,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,550.0,280.0,Baja rentabilidad
882,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
883,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
884,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
886,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,450.0,126.0,Baja rentabilidad
887,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1800.0,462.0,Rentabilidad media
888,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,550.0,280.0,Rentabilidad media
889,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,9700.0,3104.0,Rentabilidad media
890,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,10050.0,3216.0,Alta rentabilidad
891,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,3740.0,1009.8,Alta rentabilidad
892,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
895,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,420.0,ROI extremo/anómalo
896,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,392.0,Rentabilidad media
898,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,300.0,84.0,ROI extremo/anómalo
899,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
900,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,420.0,Rentabilidad media
901,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,392.0,Rentabilidad media
903,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,300.0,84.0,Rentabilidad media
907,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
908,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
910,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
911,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
912,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1125.0,315.0,Alta rentabilidad
913,Goldberg Injury Law,Durango Surgery Center,Pain Management,9800.0,2946.57,Baja rentabilidad
914,Goldberg Injury Law,Durango Surgery Center,Pain Management,6487.0,2140.71,Baja rentabilidad
915,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
918,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
921,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
922,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
924,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
930,Goldberg Injury Law,Affinity Surgery Center,Surgery,58000.0,17400.0,Baja rentabilidad
931,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,9805.0,3137.0,Rentabilidad media
933,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,4735.0,1515.2,Rentabilidad media
934,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
940,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
941,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Pérdida
945,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,8140.0,2604.0,Rentabilidad media
946,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,7295.0,1969.65,Alta rentabilidad
947,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,7295.0,1969.65,Alta rentabilidad
949,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
950,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
957,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,4520.0,1220.4,Alta rentabilidad
958,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,4335.0,1170.45,Rentabilidad media
959,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
960,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,420.0,Alta rentabilidad
961,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,392.0,Pérdida
962,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,300.0,84.0,ROI extremo/anómalo
963,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
965,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1800.0,462.0,Alta rentabilidad
966,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1000.0,280.0,Rentabilidad media
967,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
972,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1125.0,315.0,Alta rentabilidad
974,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
978,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
979,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,420.0,Rentabilidad media
980,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,392.0,Rentabilidad media
981,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,300.0,84.0,Rentabilidad media
982,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Pérdida
984,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
991,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Baja rentabilidad
995,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
1003,Goldberg Injury Law,Red Rock Surgery Center,Pain Management,6898.0,1379.6,Baja rentabilidad
1011,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Alta rentabilidad
1013,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,ROI extremo/anómalo
1015,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,ROI extremo/anómalo
1018,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,420.0,ROI extremo/anómalo
1019,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,392.0,ROI extremo/anómalo
1020,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,300.0,84.0,ROI extremo/anómalo
1025,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
1027,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Rentabilidad media
1029,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1800.0,504.0,Baja rentabilidad
1030,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1000.0,280.0,Baja rentabilidad
1039,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,150.0,42.0,Alta rentabilidad
1041,Goldberg Injury Law,Durango Surgery Center,Pain Management,11579.0,3821.07,Rentabilidad media
1042,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,5000.0,1400.0,Alta rentabilidad
1043,Goldberg Injury Law,Simpson Chiropractic,Chiropractic,5115.0,1636.8,Alta rentabilidad
1044,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,ROI extremo/anómalo
1049,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1650.0,462.0,Baja rentabilidad
1051,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
1053,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
1054,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Alta rentabilidad
1055,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
1057,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1060,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1063,Goldberg Injury Law,LVC Surgery Center,Pain Management,3699.0,1220.67,Alta rentabilidad
1065,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1066,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1067,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1068,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1071,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
1077,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,2000.0,560.0,Alta rentabilidad
1078,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,400.0,112.0,ROI extremo/anómalo
1079,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,ROI extremo/anómalo
1085,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Pérdida
1091,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Alta rentabilidad
1094,Goldberg Injury Law,LVC Surgery Center,Pain Management,3030.0,999.9,Baja rentabilidad
1095,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
1096,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,560.0,Pérdida
1097,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,2000.0,560.0,Pérdida
1098,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,400.0,112.0,Pérdida
1100,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Pérdida
1103,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1105,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1110,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,2010.0,563.0,Pérdida
1111,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,550.0,308.0,Pérdida
1112,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
1113,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
1121,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1123,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,2010.0,563.0,Baja rentabilidad
1124,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1000.0,308.0,Baja rentabilidad
1125,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,ROI extremo/anómalo
1128,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
1130,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Alta rentabilidad
1133,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1136,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Pérdida
1143,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Pérdida
1144,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1147,Goldberg Injury Law,Hand Center of Nevada,Imaging,51090.0,16348.8,Baja rentabilidad
1148,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Alta rentabilidad
1150,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
1156,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1158,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1160,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1167,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1173,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,ROI extremo/anómalo
1175,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1182,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,ROI extremo/anómalo
1186,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1191,Goldberg Injury Law,Precision Medical Products,Medical Device,4584.5,1467.04,Baja rentabilidad
1194,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1202,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1203,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1208,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1210,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1218,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1125.0,315.0,Baja rentabilidad
1219,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1220,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1222,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1227,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1230,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Rentabilidad media
1237,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1244,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,2010.0,563.0,Baja rentabilidad
1245,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1100.0,308.0,Baja rentabilidad
1247,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1252,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1261,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1263,Goldberg Injury Law,Surgical Arts Centre,Pain Management,10891.32,3594.14,Baja rentabilidad
1266,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1270,Goldberg Injury Law,Surgical Arts Centre,Surgery,6072.0,2003.76,Baja rentabilidad
1271,Goldberg Injury Law,LVC Surgery Center,Surgery,7398.0,2441.34,Baja rentabilidad
1272,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1273,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,2010.0,563.0,Baja rentabilidad
1274,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1100.0,308.0,Baja rentabilidad
1275,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1277,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1279,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1280,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1281,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,2010.0,563.0,Rentabilidad media
1282,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1100.0,308.0,Rentabilidad media
1284,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1000.0,308.0,Rentabilidad media
1285,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1289,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1294,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1295,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1303,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Rentabilidad media
1308,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1500.0,420.0,Rentabilidad media
1309,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,300.0,84.0,Rentabilidad media
1319,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1322,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1326,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,1795.0,503.0,Baja rentabilidad
1335,Goldberg Injury Law,Pueblo Medical Imaging,Imaging,165.0,47.0,Baja rentabilidad
1340,Goldberg Injury Law,OpenSided MRI of Las Vegas,Imaging,1795.0,475.0,Rentabilidad media
1342,Goldberg Injury Law,OpenSided MRI of Las Vegas,Imaging,150.0,45.0,Rentabilidad media
